player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
7192,Aman Hakim Khan,Right hand Bat,Right arm Medium, ,Aman Hakim Khan,Aman Hakim,
6734,MS Wade,Left hand Bat,Right arm Medium,Wicketkeeper,Matthew Scott Wade,Matthew Scott,
4310,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox, ,Shahbaz Ahmed,Shahbaz Ahmed,
4059,Ravi Bishnoi,Right hand Bat,Legbreak Googly, ,Ravi Bishnoi,Ravi Bishnoi,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441
4134,KL Nagarkoti,Right hand Bat,Right arm Fast, ,Kamlesh Lachham Nagarkoti,Kamlesh Lachham,
4320,DR Sams,Right hand Bat,Left arm Fast medium, ,Daniel Richard Sams,Daniel Richard,
7496,DJ Mitchell,Right hand Bat,Right arm Medium, ,Daryl Joseph Mitchell,Daryl Joseph,
5422,C Sakariya,Left hand Bat,Left arm Medium fast, ,Chetan Sakariya,Chetan Sakariya,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754
2352,S Lamichhane,Right hand Bat,Legbreak Googly, ,Sandeep Lamichhane,Sandeep Lamichhane,
2910,GH Vihari,Right hand Bat,Right arm Offbreak, ,Gade Hanuma Vihari,Gade Hanuma,
8349,RR Rossouw,Left hand Bat,Right arm Offbreak, ,Rilee Roscoe Rossouw,Rilee Roscoe,
4664,JR Hazlewood,Left hand Bat,Right arm Fast medium, ,Josh Reginald Hazlewood,Josh Reginald,
8333,KR Mayers,Left hand Bat,Right arm Medium, ,Kyle Rico Mayers,Kyle Rico,
5573,LI Meriwala,Left hand Bat,Left arm Fast medium, ,Lukman Iqbal Meriwala,Lukman Iqbal,
2894,NS Naik,Right hand Bat, ,Wicketkeeper,Nikhil Shankar Naik,Nikhil Shankar,
8191,PN Mankad,Right hand Bat,Right arm Medium, ,Prerak Nileshkumar Mankad,Prerak Nileshkumar,
2349,Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox, ,Abhishek Sharma,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png
7621,K Kartikeya,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin", ,Kumar Kartikeya Singh,Kumar Kartikeya,
6520,AU Rashid,Right hand Bat,Legbreak, ,Adil Usman Rashid,Adil Usman,
2825,CV Varun,Right hand Bat,Legbreak Googly, ,Varun Chakravarthy Vinod,Varun Chakravarthy,
4212,Kartik Tyagi,Right hand Bat,Right arm Fast, ,Kartik Tyagi,Kartik Tyagi,
4104,YBK Jaiswal,Left hand Bat,Legbreak, ,Yashasvi Bhupendra Kumar Jaiswal,Yashasvi Bhupendra,
6519,IC Porel,Right hand Bat,Right arm Medium, ,Ishan Chandranath Porel,Ishan Chandranath,
1740,H Klaasen,Right hand Bat,Right arm Offbreak,Wicketkeeper,Heinrich Klaasen,Heinrich Klaasen,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
5526,Virat Singh,Left hand Bat,Legbreak Googly, ,Virat Binod Singh,Virat Binod,
5181,Monu Kumar,Right hand Bat,Right arm Medium, ,Monu Kumar Singh,Monu Kumar,
10135,N Burger,Left hand Bat,Left arm Fast medium,NULL,Nandre Burger,Nandre Burger,
10159,SH Johnson,Left hand Bat,Left arm Fast,NULL,Spencer Johnson,Spencer Johnson,https://www.espncricinfo.com/cricketers/spencer-johnson-1123718
10070,Sameer Rizvi,Right hand Bat,Right arm Offbreak,NULL,Sameer Rizvi,Sameer Rizvi,https://www.espncricinfo.com/cricketers/sameer-rizvi-1175489
10291,A Raghuvanshi,Right hand Bat,Slow Left arm Orthodox,NULL,Angkrish Raghuvanshi,Angkrish Raghuvanshi,https://www.espncricinfo.com/cricketers/angkrish-raghuvanshi-1292495
11192,AA Kulkarni,Right hand Bat,Right arm Medium,NULL,Arshin Kulkarni,Arshin Kulkarni,https://www.espncricinfo.com/cricketers/arshin-kulkarni-1403153
10169,SZ Mulani,Left hand Bat,Slow Left arm Orthodox,NULL,Shams Mulani,Shams Mulani,
11834,Prince Yadav,Right hand Bat,Right arm Fast,NULL,Prince Yadav,Prince Yadav,https://www.espncricinfo.com/cricketers/prince-yadav-1350768
11212,RJ Gleeson,Right hand Bat,Right arm Fast Medium,NULL,Richard Gleeson,Richard Gleeson,
11282,MJ Suthar,Left hand Bat,Slow Left arm Orthodox,NULL,Manav Suthar,Manav Suthar,https://www.espncricinfo.com/cricketers/manav-suthar-1175426
11366,A Kamboj,Right hand Bat,Right arm Medium,NULL,Anshul Kamboj,Anshul Kamboj,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428
11429,V Kaverappa,Right hand Bat,Right arm Fast medium,NULL,Vidhwath Kaverappa,Vidhwath Kaverappa,
10232,KT Maphaka,Left hand Bat,Left arm Fast,NULL,Kwena Maphaka,Kwena Maphaka,https://www.espncricinfo.com/cricketers/kwena-maphaka-1294342
8808,D Jansen,Right hand Bat,Left arm Fast,NULL,Duan Jansen,Duan Jansen,
10065,R Ravindra,Left hand Bat,Slow Left arm Orthodox,NULL,Rachin Ravindra,Rachin Ravindra,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767
8389,Arshad Khan,Left hand Bat,Left arm Medium,NULL,Arshad Khan,Arshad Khan,
10083,Sumit Kumar,Right hand Bat,Right arm Medium fast,NULL,Sumit Kumar,Sumit Kumar,
10488,Saurav Chauhan,Left hand Bat,Right arm Offbreak,NULL,Saurav Chauhan,Saurav Chauhan,
11981,DL Vettori,Left hand Bat,Slow Left arm Orthodox, ,Daniel Luca Vettori,Daniel Luca,
9759,Sanvir Singh,Right hand Bat,Right arm Medium, ,Sanvir Singh,Sanvir Singh,
8769,Yudhvir Singh,Right hand Bat,Right arm Medium fast, ,Yudhvir Singh Charak,Yudhvir Singh,
8930,Liton Das,Right hand Bat,Right arm Offbreak,Wicketkeeper,Litton Kumer Das,Litton Kumer,
12015,WPUJC Vaas,Left hand Bat,Left arm Fast medium, ,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,Warnakulasuriya Patabendige,
12013,AS Yadav,Right hand Bat,Right arm Offbreak, ,Arjun Shivlal Yadav,Arjun Shivlal,
12127,VRV Singh,Right hand Bat,Right arm Medium fast, ,Vikram Raj Vir Singh,Vikram Raj,
12016,RP Singh,Right hand Bat,Left arm Fast medium, ,Rudra Pratap Singh,Rudra Pratap,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/389100/389167.5.png"
11984,GD McGrath,Right hand Bat,Right arm Fast medium, ,Glenn Donald McGrath,Glenn Donald,
11982,MF Maharoof,Right hand Bat,Right arm Fast medium, ,Mohamed Farveez Maharoof,Mohamed Farveez,
12295,HH Gibbs,Right hand Bat,Right arm Bowler, ,Herschelle Herman Gibbs,Herschelle Herman,
11924,LR Shukla,Right hand Bat,Right arm Medium, ,Laxmi Ratan Shukla,Laxmi Ratan,
9524,Vivrant Sharma,Left hand Bat,Legbreak Googly, ,Vivrant Sharma,Vivrant Sharma,
8396,MG Bracewell,Left hand Bat,Right arm Offbreak,Wicketkeeper,Michael Gordon Bracewell,Michael Gordon,
11926,AB Agarkar,Right hand Bat,Right arm Fast, ,Ajit Bhalchandra Agarkar,Ajit Bhalchandra,
12012,SB Styris,Right hand Bat,Right arm Medium, ,Scott Bernard Styris,Scott Bernard,
8890,Naveen-ul-Haq,Right hand Bat,Right arm Medium fast, ,Naveen-ul-Haq Murid,Naveen-ul,
12318,BJ Hodge,Right hand Bat,Right arm Offbreak, ,Bradley John Hodge,Bradley John,
11996,S Chanderpaul,Left hand Bat,Legbreak, ,Shivnarine Chanderpaul,Shivnarine Chanderpaul,
8433,Abishek Porel,Left hand Bat, ,Wicketkeeper,Abishek Porel,Abishek Porel,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
11963,T Kohli,Right hand Bat,Right arm Medium, ,Taruwar Sushil Kohli,Taruwar Sushil,
9824,Nithish Kumar Reddy,Right hand Bat,Right arm Medium fast, ,Kaki Nitish Kumar Reddy,Kaki Nitish,
11954,KC Sangakkara,Left hand Bat,Right arm Offbreak,Wicketkeeper,Kumar Chokshanada Sangakkara,Kumar Chokshanada,
12056,Shahid Afridi,Right hand Bat,Legbreak Googly, ,Sahibzada Mohammad Shahid Khan Afridi,Sahibzada Mohammad,
12323,Umar Gul,Right hand Bat,Right arm Fast medium, ,Umar Gul,Umar Gul,
8475,Suyash Sharma,Right hand Bat,Legbreak Googly, ,Suyash Sharma,Suyash Sharma,https://www.espncricinfo.com/cricketers/suyash-sharma-1350792
11949,P Amarnath,Right hand Bat,Right arm Medium, ,Palani Amarnath,Palani Amarnath,
8386,N Wadhera,Left hand Bat,Legbreak, ,Nehal Wadhera,Nehal Wadhera,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273
12121,RR Sarwan,Right hand Bat,Legbreak, ,Ramnaresh Ronnie Sarwan,Ramnaresh Ronnie,
11993,MA Khote,Right hand Bat,Right arm Medium, ,Musavir Asmat Khote,Musavir Asmat,
11933,JH Kallis,Right hand Bat,Right arm Fast medium, ,Jacques Henry Kallis,Jacques Henry,
11983,B Geeves,Right hand Bat,Right arm Fast medium, ,Brett Geeves,Brett Geeves,
8605,Mohit Rathee,Right hand Bat,Legbreak, ,Mohit Rathee,Mohit Rathee,https://www.espncricinfo.com/cricketers/mohit-rathee-1349361
9431,R Goyal,Left hand Bat,Left arm Wrist spin, ,Raghav Goyal,Raghav Goyal,
10707,Arshad Khan (2),Left hand Bat,Left arm Medium, ,Mohd Arshad Khan,Mohd Arshad,
8470,Dhruv Jurel,Right hand Bat, , ,Dhruv Chand Jurel,Dhruv Chand,
11952,K Goel,Left hand Bat,Right arm Offbreak, ,Karan Goel,Karan Goel,
8569,SSB Magala,Right hand Bat,Right arm Fast medium, ,Sisanda Somila Bruce Magala,Sisanda Somila,
11947,S Badrinath,Right hand Bat,Right arm Offbreak, ,Subramaniam Badrinath,Subramaniam Badrinath,
12071,VY Mahesh,Right hand Bat,Right arm Medium fast, ,Vijaykumar Yo Mahesh,Vijaykumar Yo,
11958,P Dharmani,Right hand Bat, ,Wicketkeeper,Pankaj Dharmani,Pankaj Dharmani,
11923,Mohammad Hafeez,Right hand Bat,Right arm Offbreak, ,Mohammad Hafeez,Mohammad Hafeez,
11946,JDP Oram,Left hand Bat,Right arm Fast medium, ,Jacob David Philip Oram,Jacob David,
12105,D Kalyankrishna,Right hand Bat,Right arm Medium fast, ,Doddapaneni Kalyankrishna,Doddapaneni Kalyankrishna,
11986,ST Jayasuriya,Left hand Bat,Slow Left arm Orthodox, ,Sanath Teran Jayasuriya,Sanath Teran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/319800/319886.png"
11989,PR Shah,Right hand Bat, ,Wicketkeeper,Pinal Rohitbhai Shah,Pinal Rohitbhai,
8597,MW Short,Right hand Bat,Right arm Offbreak, ,Matthew William Short,Matthew William,
11980,M Manhas,Right hand Bat,Right arm Offbreak,Wicketkeeper,Mithun Manhas,Mithun Manhas,
11959,B Lee,Right hand Bat,Right arm Fast, ,Brett Lee,Brett Lee,
11921,RT Ponting,Right hand Bat,Right arm Medium, ,Ricky Thomas Ponting,Ricky Thomas,
11922,DJ Hussey,Right hand Bat,Right arm Offbreak, ,David John Hussey,David John,
12572,NK Patel,Left hand Bat,NULL,NULL,Niraj Kanubhai Patel,Niraj Kanubhai,
12338,SP Fleming,Left hand Bat, , ,Stephen Paul Fleming,Stephen Paul,
16455,TR Birt,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,Travis Rodney Birt,Travis Rodney,
16953,AA Kazi,Left hand Bat,Slow Left arm Orthodox, ,Abrar Anjum Kazi,Abrar Anjum,
14798,J Theron,Right hand Bat,Right arm Medium fast, ,Juan Theron,Juan Theron,
34126,SS Mundhe,Right hand Bat,Right arm Medium, ,Shrikant Shrihari Mundhe,Shrikant Shrihari,
15862,Sunny Singh,Right hand Bat,Right arm Medium fast, ,Sunny Singh,Sunny Singh,
13301,R Bishnoi,Right hand Bat,Right arm Medium fast, ,Rajesh Bishnoi,Rajesh Bishnoi,
13388,AS Raut,Right hand Bat,Legbreak Googly, ,Abhishek Santosh Raut,Abhishek Santosh,
14765,R Sharma,Right hand Bat,Legbreak Googly, ,Rahul Sharma,Rahul Sharma,
15334,RS Sodhi,Right hand Bat,Right arm Medium, ,Reetinder Singh Sodhi,Reetinder Singh,
14648,MJ Lumb,Left hand Bat,Right arm Medium, ,Michael John Lumb,Michael John,
34959,LJ Wright,Right hand Bat,Right arm Medium, ,Luke James Wright,Luke James,
14476,R Sathish,Right hand Bat,Right arm Medium, ,Rajagopal Sathish,Rajagopal Sathish,
